5.0710 	WARNING 	Monitor specification not found. Creating a temporary one...
69.2394 	EXP 	choice_feedback offset
69.2394 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch11.png'
69.2394 	EXP 	fixation_cross onset
70.7403 	EXP 	fixation_cross offset
70.7403 	EXP 	patch_choice onset
71.4307 	DATA 	Keypress: b
71.4393 	EXP 	patch_choice offset
71.4393 	EXP 	choice_feedback onset
71.9565 	EXP 	choice_feedback offset
71.9565 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch27.png'
71.9565 	EXP 	fixation_cross onset
73.4562 	EXP 	fixation_cross offset
73.4562 	EXP 	patch_choice onset
74.1749 	DATA 	Keypress: b
74.1889 	EXP 	patch_choice offset
74.1889 	EXP 	choice_feedback onset
74.7062 	EXP 	choice_feedback offset
74.7062 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch13.png'
74.7062 	EXP 	fixation_cross onset
76.2062 	EXP 	fixation_cross offset
76.2062 	EXP 	patch_choice onset
77.1739 	DATA 	Keypress: a
77.1891 	EXP 	patch_choice offset
77.1891 	EXP 	choice_feedback onset
77.7054 	EXP 	choice_feedback offset
77.7054 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch15.png'
77.7054 	EXP 	fixation_cross onset
79.2053 	EXP 	fixation_cross offset
79.2053 	EXP 	patch_choice onset
79.8255 	DATA 	Keypress: b
79.8389 	EXP 	patch_choice offset
79.8389 	EXP 	choice_feedback onset
80.3558 	EXP 	choice_feedback offset
80.3558 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch14.png'
80.3558 	EXP 	fixation_cross onset
81.8561 	EXP 	fixation_cross offset
81.8561 	EXP 	patch_choice onset
83.1894 	DATA 	Keypress: a
83.2050 	EXP 	patch_choice offset
83.2050 	EXP 	choice_feedback onset
83.7224 	EXP 	choice_feedback offset
83.7224 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch28.png'
83.7224 	EXP 	fixation_cross onset
